"","status","family","pval","qval","type","gene_short_name","num_cells_expressed","perc_cells_expressed","FC","log2FC"
"SDIM1","OK","negbinomial.size",2.82256975701966e-15,2.46703812272487e-13,"protein_coding","SDIM1",53,0.0156944033165532,Inf,Inf
"NPAS4","OK","negbinomial.size",3.327688130588e-59,2.43993488597225e-56,"protein_coding","NPAS4",218,0.0645543381699733,297.147478070175,8.21503532643221
"FOS","OK","negbinomial.size",1.56128021574442e-205,1.03028881436974e-201,"protein_coding","FOS",651,0.19277465205804,104.570524322169,6.70833244091095
"LINC00473","OK","negbinomial.size",2.09054549879819e-57,1.37955097465693e-54,"protein_coding","LINC00473",248,0.073437962688777,57.0455043859649,5.83404129068033
"NR4A1","OK","negbinomial.size",1.82437572545835e-92,3.00976385307492e-89,"protein_coding","NR4A1",402,0.119040568551969,36.5504777568922,5.19181835887614
"JUNB","OK","negbinomial.size",1.58437640447856e-96,2.98722854090114e-93,"protein_coding","JUNB",303,0.0897246076399171,27.0248741065627,4.75621599217159
"FOSB","OK","negbinomial.size",6.94159645055822e-21,1.09065702326747e-18,"protein_coding","FOSB",103,0.0305004441812259,12.3929702729045,3.6314501003177
"SPRY4","OK","negbinomial.size",3.52930273897708e-14,2.64657599710338e-12,"protein_coding","SPRY4",65,0.0192478531240746,11.7780519005848,3.55802903084833
"CSRNP1","OK","negbinomial.size",4.39686006379155e-34,1.65799311776917e-31,"protein_coding","CSRNP1",171,0.0506366597571809,11.5956035923141,3.53550601422219
"NR4A3","OK","negbinomial.size",9.66241055615247e-35,3.86437862182122e-32,"protein_coding","NR4A3",231,0.0684039087947883,8.19496984649123,3.03473864091746
"FOSL2","OK","negbinomial.size",1.68836275349225e-64,1.59164368718505e-61,"protein_coding","FOSL2",412,0.122001776724904,8.00339912280702,3.00061285701283
"SIK1","OK","negbinomial.size",4.60432771837612e-119,1.01279862045213e-115,"protein_coding","SIK1",695,0.205803968018952,7.81905379848704,2.96699403428163
"RP11.54O7.17","OK","negbinomial.size",6.82218326909505e-10,2.3883070234885e-08,"protein_coding","RP11.54O7.17",58,0.0171750074030204,7.54119674185464,2.91479348855183
"MIR22HG","OK","negbinomial.size",5.5994798261192e-21,9.0124310664782e-19,"protein_coding","MIR22HG",130,0.0384957062481492,7.21471029547553,2.85094146489359
"EGR1","OK","negbinomial.size",8.7694015311467e-08,1.95963396984461e-06,"protein_coding","EGR1",55,0.0162866449511401,6.91783168859649,2.79031991325101
"SERTAD1","OK","negbinomial.size",2.83449504575344e-13,1.87988269416351e-11,"protein_coding","SERTAD1",97,0.0287237192774652,6.7546418128655,2.75587926792198
"VGF","OK","negbinomial.size",4.7091104955534e-155,1.24301680640627e-151,"protein_coding","VGF",958,0.283683742967131,6.41702029695451,2.6819035464576
"ERF","OK","negbinomial.size",2.3412158188955e-08,5.87440425433132e-07,"protein_coding","ERF",74,0.0219129404797157,5.57296650717703,2.47844548302757
"RNF122","OK","negbinomial.size",3.48179697067816e-06,5.24574844965872e-05,"protein_coding","RNF122",57,0.016878886585727,5.32140899122807,2.41180828999728
"ATF3","OK","negbinomial.size",3.00201011716234e-19,3.92282470557511e-17,"protein_coding","ATF3",143,0.0423452768729642,5.08017178362573,2.3448772818783
"INSIG1","OK","negbinomial.size",2.72992619367768e-166,9.0073914760395e-163,"protein_coding","INSIG1",1433,0.424341131181522,4.8833822676526,2.28788071552623
"PER1","OK","negbinomial.size",5.39863868055168e-53,3.23869242299641e-50,"protein_coding","PER1",519,0.153686704175304,4.16021698045928,2.05665877559451
"MPZL2","OK","negbinomial.size",0.000282030291152479,0.00232494427397278,"protein_coding","MPZL2",38,0.0112525910571513,4.13549498746867,2.04806001941529
"GPR3","OK","negbinomial.size",0.00058945264607855,0.00431241464686514,"protein_coding","GPR3",45,0.0133254367782055,4.06792153996101,2.02429185348235
"DUSP4","OK","negbinomial.size",1.87655302427552e-217,2.47667468143883e-213,"protein_coding","DUSP4",2327,0.689073141841872,3.71004106009705,1.89143515365756
"ID1","OK","negbinomial.size",5.21752057949285e-18,6.04042426387251e-16,"protein_coding","ID1",151,0.0447142434113118,3.62781273836766,1.85909998828075
"ZNF331","OK","negbinomial.size",4.47861957739217e-24,9.23575330975341e-22,"protein_coding","ZNF331",365,0.108084098312111,3.28406954887218,1.71548468032842
"RN7SKP22","OK","negbinomial.size",2.79861232718116e-05,0.000326290507898736,"protein_coding","RN7SKP22",46,0.013621557595499,3.23541666666667,1.69395151877878
"SPATA2L","OK","negbinomial.size",1.05218872845779e-12,6.37008570558988e-11,"protein_coding","SPATA2L",155,0.0458987266804856,3.20404836103416,1.67989592355736
"LINC00562","OK","negbinomial.size",4.74903675555738e-05,0.000512073424018352,"protein_coding","LINC00562",50,0.0148060408646728,3.19284539473684,1.67484269583108
"TOB2","OK","negbinomial.size",1.92362893158202e-17,2.04742376121125e-15,"protein_coding","TOB2",271,0.0802487414865265,3.13811090225564,1.64989633870085
"CTD.2235C13.3","OK","negbinomial.size",0.000124741801868904,0.00117363244825332,"protein_coding","CTD.2235C13.3",76,0.0225051821143026,3.1218932748538,1.6424212181387
"EHBP1L1","OK","negbinomial.size",5.2335174291887e-06,7.49153612043736e-05,"protein_coding","EHBP1L1",58,0.0171750074030204,3.1218932748538,1.6424212181387
"FAM117A","OK","negbinomial.size",0.000144435685875307,0.00132379318207104,"protein_coding","FAM117A",41,0.0121409535090317,3.06513157894737,1.61594900677751
"FAM222A","OK","negbinomial.size",8.26995948230129e-35,3.41084141398164e-32,"protein_coding","FAM222A",435,0.128812555522653,3.03491970854556,1.60165834922712
"DUSP5","OK","negbinomial.size",7.39791851722139e-20,1.02776556410829e-17,"protein_coding","DUSP5",175,0.0518211430263548,2.9244612890923,1.54817089234265
"MSANTD1","OK","negbinomial.size",0.000289569331596948,0.00237966129415723,"protein_coding","MSANTD1",70,0.0207284572105419,2.82314750692521,1.49730451027889
"LDLR","OK","negbinomial.size",4.96606028511993e-52,2.73091931845887e-49,"protein_coding","LDLR",935,0.276872964169381,2.75743144725083,1.4633250192924
"STARD4","OK","negbinomial.size",1.87579308146353e-34,7.28138737916343e-32,"protein_coding","STARD4",430,0.127331951436186,2.73184632704757,1.4498763308308
"EIF2AK3","OK","negbinomial.size",1.90555808433504e-15,1.69929429709824e-13,"protein_coding","EIF2AK3",192,0.0568551969203435,2.72013841421736,1.4436800648669
"MAFF","OK","negbinomial.size",4.16363984161399e-09,1.21719996813197e-07,"protein_coding","MAFF",138,0.0408646727864969,2.71268104855161,1.43971942848099
"RP11.135L13.4","OK","negbinomial.size",0.00373460200361855,0.0194588540243812,"protein_coding","RP11.135L13.4",43,0.0127331951436186,2.69618055555556,1.43091711294499
"RGS7BP","OK","negbinomial.size",5.88879071274901e-16,5.59138559905478e-14,"protein_coding","RGS7BP",197,0.0583358010068108,2.66374530075188,1.41345614287877
"DMGDH","OK","negbinomial.size",2.12906671299658e-05,0.000257085292572084,"protein_coding","DMGDH",78,0.0230974237488895,2.63941885964912,1.40022031572207
"GABRQ","OK","negbinomial.size",1.50598009563492e-05,0.000188397396229287,"protein_coding","GABRQ",61,0.0180633698549008,2.63536445279866,1.39800249047225
"NR4A2","OK","negbinomial.size",2.6031056771664e-50,1.37423154908969e-47,"protein_coding","NR4A2",701,0.207580692922712,2.63034025987158,1.39524943810207
"FAM186A","OK","negbinomial.size",0.00967117427864964,0.0406626817870717,"protein_coding","FAM186A",56,0.0165827657684335,2.61509241854637,1.38686193286705
"ZC3H12C","OK","negbinomial.size",2.34196238722016e-16,2.32400147267156e-14,"protein_coding","ZC3H12C",196,0.0580396801895173,2.57728781412992,1.36585365665121
"FAM157C","OK","negbinomial.size",0.00203187411767908,0.011844820938661,"protein_coding","FAM157C",43,0.0127331951436186,2.55427631578947,1.35291460094372
"RP11.9G1.3","OK","negbinomial.size",0.000850061471684941,0.00583417124456467,"protein_coding","RP11.9G1.3",42,0.0124370743263251,2.55427631578947,1.35291460094372
"REL","OK","negbinomial.size",5.1106807855824e-06,7.34523441235898e-05,"protein_coding","REL",124,0.0367189813443885,2.53062560916179,1.33949408518139
"MT.TA","OK","negbinomial.size",1.59820813675151e-05,0.000199556773782843,"protein_coding","MT.TA",66,0.0195439739413681,2.50697490253411,1.32594755334345
"FBXO33","OK","negbinomial.size",1.00459919534591e-09,3.38232147453451e-08,"protein_coding","FBXO33",207,0.0612970091797453,2.48670286828182,1.31423413277966
"ADIPOR2","OK","negbinomial.size",1.52891354750174e-28,4.2933193616868e-26,"protein_coding","ADIPOR2",515,0.15250222090613,2.48332419590643,1.31227261644637
"RP11.841O20.2","OK","negbinomial.size",0.0118050248456634,0.047217624563529,"protein_coding","RP11.841O20.2",38,0.0112525910571513,2.47687400318979,1.30852048158526
"AC068831.10","OK","negbinomial.size",0.0105423546889426,0.0435082754312063,"protein_coding","AC068831.10",34,0.0100681077879775,2.45967348927875,1.29846681692134
"LOXL2","OK","negbinomial.size",0.000737140179323049,0.00515841786145578,"protein_coding","LOXL2",58,0.0171750074030204,2.44075292397661,1.28732625931614
"EHD4","OK","negbinomial.size",7.72374550395867e-05,0.000782333025028753,"protein_coding","EHD4",49,0.0145099200473793,2.43264411027569,1.28252527305232
"CHKA","OK","negbinomial.size",4.67189644017046e-33,1.6226234004571e-30,"protein_coding","CHKA",568,0.168196624222683,2.4090094163133,1.26844003278018
"ACVR1C","OK","negbinomial.size",0.00142482541176752,0.00890337362357471,"protein_coding","ACVR1C",36,0.0106603494225644,2.39947169059011,1.26271679197214
"XXbac.B476C20.17","OK","negbinomial.size",0.0009004954316005,0.00612931341220392,"protein_coding","XXbac.B476C20.17",39,0.0115487118744448,2.39947169059011,1.26271679197214
"RNA28S5","OK","negbinomial.size",4.65763195673236e-60,3.61596626852669e-57,"protein_coding","RNA28S5",1032,0.305596683446846,2.38135625572636,1.25178346685874
"HIAT1","OK","negbinomial.size",2.79541025301839e-35,1.19012337159151e-32,"protein_coding","HIAT1",645,0.190997927154279,2.37756537570341,1.24948501128831
"MTHFD2","OK","negbinomial.size",2.01137185868414e-23,3.94080988495491e-21,"protein_coding","MTHFD2",353,0.10453064850459,2.36574639724311,1.24229542826379
"RP11.342K6.1","OK","negbinomial.size",0.010747647836152,0.0441634418079406,"protein_coding","RP11.342K6.1",46,0.013621557595499,2.36507066276803,1.24188328855497
"RP11.566J3.4","OK","negbinomial.size",0.00266004001276613,0.0147944408295353,"protein_coding","RP11.566J3.4",57,0.016878886585727,2.34141995614035,1.22738371885986
"PNP","OK","negbinomial.size",7.66021793632624e-06,0.00010433390745473,"protein_coding","PNP",97,0.0287237192774652,2.33455362195812,1.22314672597339
"XBP1","OK","negbinomial.size",1.21674840516168e-20,1.82484607401407e-18,"protein_coding","XBP1",448,0.132662126147468,2.32206937799043,1.21541107719378
"NIM1K","OK","negbinomial.size",6.5766788688402e-07,1.19065854198838e-05,"protein_coding","NIM1K",115,0.0340538939887474,2.31776924951267,1.21273694289546
"DBF4","OK","negbinomial.size",6.06085961357737e-08,1.40335482771919e-06,"protein_coding","DBF4",112,0.033165531536867,2.27813833570413,1.18785535467322
"ELOVL5","OK","negbinomial.size",1.6511340522415e-33,6.05324089485647e-31,"protein_coding","ELOVL5",883,0.261474681670121,2.27203583890666,1.18398559197513
"DCUN1D3","OK","negbinomial.size",3.48551810875325e-11,1.57002962455035e-09,"protein_coding","DCUN1D3",303,0.0897246076399171,2.25662352018257,1.1741657491144
"CTD.2201E18.3","OK","negbinomial.size",8.02248172174566e-05,0.000807017635393286,"protein_coding","CTD.2201E18.3",59,0.0174711282203139,2.25377321981424,1.17234235530189
"RP11.26J3.1","OK","negbinomial.size",0.00445766312116326,0.0223526739639486,"protein_coding","RP11.26J3.1",51,0.0151021616819662,2.25019580200501,1.17005054379391
"EFHD2","OK","negbinomial.size",1.79841406986768e-12,1.04102933746113e-10,"protein_coding","EFHD2",199,0.0589280426413977,2.2393655371305,1.1630900420637
"JUND","OK","negbinomial.size",2.34019050547787e-90,3.43175936569966e-87,"protein_coding","JUND",2111,0.625111045306485,2.20690365813026,1.14202365047322
"FAM154B","OK","negbinomial.size",0.0106333553137845,0.0437875268116468,"protein_coding","FAM154B",42,0.0124370743263251,2.18937969924812,1.13052217960727
