"","status","family","pval","qval","type","gene_short_name","num_cells_expressed","perc_cells_expressed","FC","log2FC"
"GTSE1","OK","negbinomial.size",0.00114380673180966,0.0232346412237752,"protein_coding","GTSE1",50,0.0547645125958379,1.49853339350181,0.583551233402813
"RNF138","OK","negbinomial.size",0.00186852671631671,0.0318280958811895,"protein_coding","RNF138",119,0.130339539978094,1.49325066708523,0.578456366280049
"DIP2B","OK","negbinomial.size",0.00162560411994413,0.0291495020717254,"protein_coding","DIP2B",119,0.130339539978094,1.49165588175192,0.57691475077355
"LDLR","OK","negbinomial.size",1.01124243141255e-08,1.74215310019301e-06,"protein_coding","LDLR",281,0.307776560788609,1.48688244893922,0.572290594238981
"TOP2A","OK","negbinomial.size",3.54280929074255e-11,1.07150298771125e-08,"protein_coding","TOP2A",118,0.129244249726177,1.4796329723225,0.565239355125871
"BCHE","OK","negbinomial.size",9.83079542834497e-05,0.00383372853237178,"protein_coding","BCHE",63,0.0690032858707558,1.46883273164862,0.554670113415684
"FAM65B","OK","negbinomial.size",2.02443026567493e-05,0.00110209983663343,"protein_coding","FAM65B",100,0.109529025191676,1.46795107934871,0.553803890008761
"PPP2R2B","OK","negbinomial.size",9.04807755965089e-11,2.56550699139268e-08,"protein_coding","PPP2R2B",291,0.318729463307777,1.46624465554243,0.552125849644077
"TMEM97","OK","negbinomial.size",0.000504147263692581,0.013144529231525,"protein_coding","TMEM97",167,0.182913472070099,1.46403262468244,0.549947703173281
"SIK2","OK","negbinomial.size",0.000311419416765475,0.00899876488785164,"protein_coding","SIK2",123,0.134720700985761,1.46077831487487,0.546737253913211
"TMOD2","OK","negbinomial.size",0.00101016082311137,0.0212492871754957,"protein_coding","TMOD2",140,0.153340635268346,1.46060397684946,0.546565063778629
"GLYR1","OK","negbinomial.size",0.00208142263010419,0.0344624841797056,"protein_coding","GLYR1",155,0.169769989047097,1.45803249097473,0.544022869216175
"GLTSCR1","OK","negbinomial.size",0.00115341379541065,0.0233948759397005,"protein_coding","GLTSCR1",86,0.0941949616648412,1.45408118341111,0.540107819212792
"MEF2D","OK","negbinomial.size",0.00278517213569577,0.0422588548125077,"protein_coding","MEF2D",70,0.076670317634173,1.4515523465704,0.537596600056742
"NOL4","OK","negbinomial.size",0.00272899256951104,0.0415919248275983,"protein_coding","NOL4",79,0.0865279299014239,1.44850286685071,0.534562539967109
"KLF6","OK","negbinomial.size",0.00104319615021141,0.0217425721353404,"protein_coding","KLF6",146,0.159912376779847,1.44206030406264,0.528131496446284
"PNPLA8","OK","negbinomial.size",0.00078427463318493,0.0179696595246581,"protein_coding","PNPLA8",132,0.144578313253012,1.44127349682559,0.527344128069545
